Route_name,Route_link
Patna (Bihar) to Bettiah,https://www.redbus.in/bus-tickets/patna-to-bettiah
Gopalganj (Bihar) to Delhi,https://www.redbus.in/bus-tickets/gopalganj-to-delhi
Patna (Bihar) to Motihari,https://www.redbus.in/bus-tickets/patna-to-motihari
Delhi to Motihari,https://www.redbus.in/bus-tickets/delhi-to-motihari
Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna
Motihari to Delhi,https://www.redbus.in/bus-tickets/motihari-to-delhi
Patna (Bihar) to Balmiki Nagar (bihar),https://www.redbus.in/bus-tickets/patna-to-balmiki-nagar-bihar
Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna
Patna (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/patna-to-kathmandu
Patna (Bihar) to Katihar,https://www.redbus.in/bus-tickets/patna-to-katihar
Patna (Bihar) to Purnea,https://www.redbus.in/bus-tickets/patna-to-purnea
Patna (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/patna-to-hazaribagh
Ranchi to Patna (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-patna
Hazaribagh to Patna (Bihar),https://www.redbus.in/bus-tickets/hazaribagh-to-patna
Patna (Bihar) to Raxaul,https://www.redbus.in/bus-tickets/patna-to-raxaul
Muzaffarpur (Bihar) to Kathmandu,https://www.redbus.in/bus-tickets/muzaffarpur-to-kathmandu
Patna (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/patna-to-ranchi
Muzaffarpur (Bihar) to Ranchi,https://www.redbus.in/bus-tickets/muzaffarpur-to-ranchi
Kathmandu to Patna (Bihar),https://www.redbus.in/bus-tickets/kathmandu-to-patna
Ranchi to Muzaffarpur (Bihar),https://www.redbus.in/bus-tickets/ranchi-to-muzaffarpur
Motihari to Lucknow,https://www.redbus.in/bus-tickets/motihari-to-lucknow
Lucknow to Motihari,https://www.redbus.in/bus-tickets/lucknow-to-motihari
Motihari to Kathmandu,https://www.redbus.in/bus-tickets/motihari-to-kathmandu
Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari
Patna (Bihar) to Janakpur (Nepal),https://www.redbus.in/bus-tickets/patna-to-janakpur-nepal
Muzaffarpur (Bihar) to Hazaribagh,https://www.redbus.in/bus-tickets/muzaffarpur-to-hazaribagh
Purnea to Patna (Bihar),https://www.redbus.in/bus-tickets/purnea-to-patna
Patna (Bihar) to Araria (Bihar),https://www.redbus.in/bus-tickets/patna-to-araria
Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna
Patna (Bihar) to Saharsa,https://www.redbus.in/bus-tickets/patna-to-saharsa
